ID	P.value
GO:0002821	0.31510798855316463
GO:0002822	0.31510798855316463
GO:0002824	0.31510798855316463
GO:0002831	0.754625021093775
GO:0002833	0.544090038555223
GO:0002889	0.1339794694638221
GO:0002891	0.1339794694638221
GO:0003006	0.7685440492207694
GO:0003008	0.8937510939811506
GO:0003013	0.8793343894950221
GO:0003018	0.8272639276513577
GO:0005975	0.8272639276513577
GO:0006082	0.015259366939906035
GO:0006139	0.07995304171833095
GO:0006259	0.6238889208569753
GO:0006260	0.9320685559103448
GO:0006261	0.6823920149084546
GO:0006275	0.9209983636480332
GO:0006281	0.46727749904207627
GO:0006302	0.24598315140128413
GO:0006310	0.01909239167885804
GO:0006351	0.05122053766990342
GO:0006355	0.03953851765425666
GO:0006357	0.3139356303993423
GO:0006366	0.22113648239788178
GO:0006396	0.7852626996194131
GO:0006403	0.8992462064100348
GO:0006412	0.07895049867689834
GO:0006417	0.07895049867689834
GO:0006468	0.8965996568522356
GO:0006470	0.03644831952965098
GO:0006497	0.7204093865849391
GO:0006505	0.6823920149084546
GO:0006506	0.6823920149084546
GO:0006508	0.9732532778031765
GO:0006511	0.6180949995051329
GO:0006518	0.23758876629358447
GO:0006606	0.8793343894950221
GO:0006629	0.4591694191978367
GO:0006631	0.046983562961086904
GO:0006633	0.031019964220163662
GO:0006636	0.008542326842629908
GO:0006643	0.8771497024157053
GO:0006644	0.4171090007266651
GO:0006650	0.9152729532963222
GO:0006656	0.6403925865148676
GO:0006661	0.7685440492207694
GO:0006664	0.6823920149084546
GO:0006690	0.0792689634313012
GO:0006692	0.23758876629358447
GO:0006693	0.23758876629358447
GO:0006725	0.07995304171833095
GO:0006793	0.8755612852968873
GO:0006796	0.8755612852968873
GO:0006807	0.6078882544374997
GO:0006810	0.1333744921174059
GO:0006811	0.056820732142589286
GO:0006812	0.056820732142589286
GO:0006886	0.8368142388561342
GO:0006887	0.85558131656097125
GO:0006897	0.85558131656097125
GO:0006909	0.056820732142589286
GO:0006913	0.92989286316965
GO:0006915	0.45701332179888776
GO:0006935	0.9018183945035668
GO:0006950	0.01628205312614033
GO:0006952	0.11069860926718432
GO:0006954	0.3096032452337291
GO:0006955	0.10256773858749955
GO:0006959	0.07895049867689834
GO:0006974	0.5542390141202799
GO:0006996	0.8569527894555697
GO:0006997	0.9663267477004721
GO:0007010	0.8418071063553711
GO:0007015	0.053521092513440144
GO:0007017	0.96393936042228
GO:0007018	0.92989286316965
GO:0007030	0.8272639276513577
GO:0007049	0.972969225192043
GO:0007051	0.9475051859589297
GO:0007052	0.9986850029370075
GO:0007059	0.9658393767121732
GO:0007062	0.754625021093775
GO:0007088	0.9245774940924449
GO:0007091	0.8259284457604896
GO:0007093	0.860612999745298
GO:0007094	0.9209983636480332
GO:0007098	0.8771497024157053
GO:0007127	0.7852626996194131
GO:0007154	0.24724365308842589
GO:0007155	0.04511994893260978
GO:0007159	0.09265325277928015
GO:0007162	0.07073544293073125
GO:0007163	0.8771497024157053
GO:0007165	0.6061845807041341
GO:0007166	0.1551546278005433
GO:0007167	0.3972207416321717
GO:0007169	0.429807180012195
GO:0007259	0.026838849366639
GO:0007267	0.6660877201077844
GO:0007275	0.8827681211833842
GO:0007276	0.7847115574450598
GO:0007281	0.8272639276513577
GO:0007283	0.92989286316965
GO:0007292	0.6403925865148676
GO:0007346	0.8728469611536316
GO:0007399	0.9050149066303264
GO:0007417	0.7852626996194131
GO:0007420	0.544090038555223
GO:0008015	0.8793343894950221
GO:0008104	0.859639832346303
GO:0008150	1
GO:0008152	0.5862887842352085
GO:0008156	0.8793343894950221
GO:0008219	0.4293748405728546
GO:0008283	0.291753122488143
GO:0008284	0.11811081335530484
GO:0008285	0.9734958551169635
GO:0008610	0.3597636978285449
GO:0008654	0.3424895189086996
GO:0009056	0.9489552676447434
GO:0009057	0.9475051859589297
GO:0009058	0.3909680240915455
GO:0009059	0.0965277172279549
GO:0009247	0.6823920149084546
GO:0009306	0.9159272980640026
GO:0009314	0.2758350050905296
GO:0009605	0.020896841034684022
