ID	P.value
GO:0005125	4.37962802319315e-5
GO:0030622	9.914471130244923e-5
GO:0003676	1.6156733711755676e-4
GO:0003700	4.723426807779783e-4
GO:0003723	5.85905648519977e-4
GO:0004252	0.001203129827578197
GO:0005198	0.0015120910871012742
GO:0017171	0.0015313446010016953
GO:0008236	0.001811365827552554
GO:0000981	0.002772085826077339
GO:0004867	0.003842708835923342
GO:0008009	0.016026547719270527
GO:0005179	0.02247472538092109
GO:0030280	0.024072645705838384
GO:0000977	0.048485387656267115
HP:0000789	2.5048395452039997e-4
HP:0003251	8.216178358364845e-4
HP:0012041	0.0017496302788224593
HP:0000144	0.0021355859178993973
HP:0000847	0.018010660714196717
HP:0040084	0.033279026875395884
HPA:0640000	1.1633708263816697e-7
HPA:0481322	7.657985749016085e-7
HPA:0481321	1.3333798065051059e-6
HPA:0230000	3.325437474063404e-6
HPA:0481323	1.800480423350536e-5
HPA:0641501	5.679076524193584e-4
HPA:0151321	8.038495163109354e-4
HPA:0410000	0.00111751684029795
HPA:0411271	0.0027162963492507143
HPA:0570753	0.004580051692028571
HPA:0641502	0.00487777978324201
HPA:0641512	0.007225669079969063
HPA:0131321	0.00798947222536852
HPA:0131331	0.008986393108443208
HPA:0230301	0.009560529713034411
HPA:0230302	0.009560529713034411
HPA:0131322	0.012170132317498536
HPA:0411272	0.012674881183171264
HPA:0641471	0.014527087130785085
HPA:0641521	0.01730791846429198
HPA:0641522	0.018079361218304883
HPA:0151322	0.022662930945496075
HPA:0151323	0.028519383107578716
HPA:0230303	0.03152079810043548
HPA:0580000	0.03153985763991189
HPA:0640691	0.04597108286835267
HPA:0031322	0.047180478744941856
KEGG:04740	8.623393089305039e-69
KEGG:04060	1.2216691163572062e-10
KEGG:05206	2.2537691895296697e-9
KEGG:04061	3.703568382032669e-9
KEGG:05150	8.859812037197458e-8
KEGG:04610	6.741939855703324e-7
KEGG:05168	9.535170920312548e-7
KEGG:00982	0.00025799647782344523
KEGG:00830	0.00025799647782344523
KEGG:05204	0.004762279767814616
KEGG:00980	0.011299671804415436
KEGG:04630	0.025195593526068153
KEGG:05320	0.029790823113435533
KEGG:04976	0.030026715783851035
KEGG:05310	0.047550580152503394
MIRNA:hsa-miR-335-5p	5.226047527102984e-34
REAC:R-HSA-9752946	6.627953494739737e-72
REAC:R-HSA-381753	1.3392264732649166e-69
REAC:R-HSA-9709957	5.576881433384152e-48
REAC:R-HSA-6805567	9.232485164107422e-32
REAC:R-HSA-198933	5.964219806279876e-19
REAC:R-HSA-166663	5.681853985360552e-16
REAC:R-HSA-166658	6.759459156958895e-16
REAC:R-HSA-977606	1.2789938316435144e-13
REAC:R-HSA-6809371	1.2138543630774006e-12
REAC:R-HSA-6803157	1.702938163352015e-12
REAC:R-HSA-5690714	6.612209503735383e-12
REAC:R-HSA-2730905	1.832226587629528e-11
REAC:R-HSA-2029481	7.458932140079037e-10
REAC:R-HSA-983695	7.653195592500589e-10
REAC:R-HSA-1461973	1.2340636789768293e-9
REAC:R-HSA-2173782	2.4646147938039595e-9
REAC:R-HSA-2871809	8.824914783337159e-9
REAC:R-HSA-202733	1.871698853549509e-8
REAC:R-HSA-2029485	1.4092237821529814e-7
REAC:R-HSA-9664323	2.7669300007951393e-5
REAC:R-HSA-2871796	2.9661382588122776e-5
REAC:R-HSA-380108	6.21045255074075e-5
REAC:R-HSA-373076	8.600145284403802e-4
REAC:R-HSA-500792	9.171983378352474e-4
REAC:R-HSA-211859	0.001656953254750476
REAC:R-HSA-211945	0.0020469156195817234
REAC:R-HSA-9749641	0.007716093224400234
REAC:R-HSA-9664433	0.010634874517700304
REAC:R-HSA-9662851	0.010634874517700304
REAC:R-HSA-6783783	0.014667370663350351
REAC:R-HSA-375276	0.01685528937538854
REAC:R-HSA-5669034	0.03376857556365344
REAC:R-HSA-140877	0.046100670208674144
TF:M04557_1	7.345629615389025e-41
TF:M05405_1	3.0800222636434525e-39
TF:M08976_1	1.7991300275679985e-36
TF:M02087_1	3.3647865092446286e-36
TF:M02025_1	1.6043127470262152e-34
TF:M00271_1	2.4294612940669195e-33
TF:M00751_1	2.4294612940669195e-33
TF:M02084_1	2.4294612940669195e-33
TF:M01808_1	6.354618275085548e-33
TF:M02112_1	1.2030264017546646e-31
TF:M12689_1	5.950740385434887e-31
TF:M01292_1	3.490934436469162e-30
TF:M00672_1	6.633069035813321e-30
TF:M10031_1	7.010061993420595e-30
TF:M10535_1	1.0698144937996397e-28
TF:M00423	4.525725427219084e-28
TF:M04557	6.38979050079504e-28
TF:M04555	2.6782253233013337e-27
TF:M02116_1	1.2944652260377186e-26
TF:M00622_1	1.9871026282933942e-26
TF:M05405	5.696783641433577e-26
TF:M11899	9.618077768691624e-26
TF:M11146	1.081799207487578e-25
TF:M02084	1.6871976872526116e-25
TF:M00751	1.6871976872526116e-25
TF:M00271	1.6871976872526116e-25
TF:M00423_1	1.7180434310895072e-25
TF:M00802	2.161313427322658e-25
TF:M11899_1	3.9905079573544577e-25
TF:M11213	6.304976045990225e-25
TF:M04555_1	6.805998813311119e-25
TF:M02112	8.014458144666365e-25
TF:M02025	9.937886053032595e-25
TF:M04611_1	1.061274601312115e-24
TF:M02027_1	1.3047852402436475e-24
TF:M04073	3.038793429044131e-24
TF:M01878_1	3.2911906448766058e-24
TF:M02087	4.071873746530394e-24
TF:M08201_1	3.029285563328569e-23
TF:M10088	3.230635664715011e-23
TF:M11146_1	4.86735885888749e-23
TF:M00805_1	8.376592399161376e-23
TF:M03858_1	8.376592399161376e-23
TF:M07270_1	1.3741974370094152e-22
TF:M03580_1	1.7066946233556751e-22
TF:M00622	2.166035216647686e-22
TF:M00672	7.7096310983446575e-22
TF:M11207	9.458846884300472e-22
TF:M01124	1.6017675518323771e-21
TF:M00252	3.367250971099773e-21
TF:M11334	4.850202266833494e-21
TF:M01230_1	7.481430501278887e-21
TF:M03813_1	2.0309742602247998e-20
TF:M11209	2.3306050236377445e-20
TF:M03950	2.449289726822048e-20
TF:M03564_1	2.5514514297392162e-20
TF:M10031	3.0035024042921865e-20
TF:M04556	3.686977615199265e-20
TF:M10065	4.6045968427911587e-20
TF:M11207_1	4.911642269147997e-20
TF:M08201	5.918836601365534e-20
TF:M11585	6.533800149815812e-20
TF:M01878	1.0318737314000324e-19
TF:M01808	1.1565719831537059e-19
TF:M04378	1.3197431815022574e-19
TF:M01010_1	1.5222884095993815e-19
TF:M02006	1.5898568059617922e-19
