Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000204291	49.56662630834482	-0.5004716468309143	0.12059317421612444	6.891582804436478e-6	3.9228892370402146e-5	TRUE
ENSG00000182348	4.258047858675449	-0.5005001946206025	0.15528297530424565	2.1699196304367826e-4	9.34094235283517e-4	TRUE
ENSG00000261212	2.4877904068451184	-0.5007348247491161	0.21763437071033107	0.0031589352728590625	0.010566108023446187	TRUE
ENSG00000240093	1.7725466748385343	-0.5008500525501829	0.2139389083320797	0.0028216813774662648	0.009553709710633242	TRUE
ENSG00000196227	822.9525675111892	-0.500874762311417	0.10379714886729581	3.300268315114207e-7	2.347740707554251e-6	TRUE
ENSG00000203943	5.511584269764692	-0.5013023081075634	0.13722010108001997	4.533601934412167e-5	2.219719925775927e-4	TRUE
ENSG00000174611	7.865083623079215	-0.501331002773595	0.15218663390953044	1.8356874551885311e-4	8.010867724366391e-4	TRUE
ENSG00000167178	8006.834322507689	-0.501426488287509	0.058568258658314304	2.3382794572553324e-18	9.089574985503142e-17	TRUE
ENSG00000272795	2.5111379666797844	-0.5014966691578793	0.18075281404542798	8.695815897389717e-4	0.003294588461861232	TRUE
ENSG00000231690	7.13423108052276	-0.5021621522564191	0.11849148626754662	4.259393407386623e-6	2.521776811124407e-5	TRUE
ENSG00000168237	47.96673982162511	-0.5027920894414319	0.09619349352995839	3.603326550057294e-8	3.0316789686876937e-7	TRUE
ENSG00000095370	395.1418320184935	-0.50281404950676	0.09864916571016802	7.994441578030065e-8	6.287639312748164e-7	TRUE
ENSG00000188641	14.76311821101112	-0.5039700801617184	0.12697646623100384	1.3517046904702759e-5	7.301251213292777e-5	TRUE
ENSG00000142065	210.3449343133788	-0.504094645012574	0.10818679238867344	6.892242835930445e-7	4.677659262261827e-6	TRUE
ENSG00000158008	53.8746256401546	-0.5046483765757123	0.09027856352565788	4.850947384709635e-9	4.6509363078400764e-8	TRUE
ENSG00000274767	3.175679086821336	-0.5052152958858352	0.1893157318710152	0.0011836643992162374	0.004364221084497234	TRUE
